date,sample_id,exp_tx_type,res_tx_type,length_mm,height_mm,width_mm,volume_mm^3,volume_cm^3,ij_volume_cm^3,ij_volume_mm^3,ij_length_mm,mortality,time_of_mort,phase_of_mort,cup_temp_t3_celsius,cup_temp_t4_celsius,cup_temp_t5_celsius
1/25/26,2,2,3,52,14,23,16744,16.744,1.196641,1196.641,60.995,0,0,0,18.9,20.2,20.1
1/25/26,3,2,3,52,13,20,13520,13.52,1.040781,1040.781,55.716,1,1455,2,0,0,0
1/25/26,4,1.1,3,58,16,25,23200,23.2,1.516359,1516.359,64.205,0,0,0,18.1,19.1,19.3
1/25/26,5,1.1,3,56,18,24,24192,24.192,1.342443,1342.443,60.317,0,0,0,17.7,19.1,19
1/25/26,6,1.3,3,49,13,18,11466,11.466,0.97514,975.14,52.598,0,0,0,17.5,18.9,19.2
1/25/26,7,1.3,3,55,14,23,17710,17.71,1.000048,1000.048,56.136,0,0,0,17.1,18.9,19.1
1/25/26,8,1.2,3,96,32,41,125952,125.952,4.06632,4066.32,113.604,0,0,0,16.6,18.3,18.8
1/25/26,9,1.2,3,54,15,21,17010,17.01,1.098826,1098.826,58.109,0,0,0,16.7,18.4,19
1/25/26,10,0,1,0,0,0,0,0,0,0,0,0,0,0,16.8,18.3,18.9
1/25/26,11,0,1,0,0,0,0,0,0,0,0,0,0,0,17,18.4,18.9
1/25/26,12,0,1,0,0,0,0,0,0,0,0,0,0,0,16.8,18.4,18.8
1/25/26,71,0,1,0,0,0,0,0,0,0,0,0,0,0,17.2,18.6,19.1
1/25/26,91,1.3,2,52,14,22,16016,16.016,1.187931,1187.931,55.271,0,0,0,16.9,18.5,19
1/25/26,92,1.3,2,46,14,21,13524,13.524,0.879132,879.132,49.561,0,0,0,16.6,18.2,18.7
1/25/26,93,1.2,2,62,19,24,28272,28.272,1.599081,1599.081,67.896,0,0,0,16.4,18,18.8
1/25/26,94,1.2,2,63,22,25,34650,34.65,1.450624,1450.624,67.978,0,0,0,16.1,17.9,18.7